Luminosity,Temperature,Humidity,Infrared,Distance,CreatedAt,IsAlarm
35.45,72,45,34,22,12/07/2020 21:04:17,Yes
34.86,82,45,42,32,12/07/2020 21:04:18,Yes
35.94,52,42,33,22,12/07/2020 21:04:19,Yes
18.55,24.77,42,24,400,12/07/2020 21:04:20,No
24.9,24.12,42,25,400,12/07/2020 21:04:21,No
24.41,24.44,42,26,193.72,12/07/2020 21:04:22,No
25.49,24.44,42,23,193.75,12/07/2020 21:04:23,No
25.39,24.44,42,24,400,12/07/2020 21:04:24,No
25.49,24.44,42,24,400,12/07/2020 21:04:25,No
25.88,24.44,42,25,400,12/07/2020 21:04:26,No
25.98,24.44,42,26,400,12/07/2020 21:04:27,No
76.17,27.67,42,23,34,12/07/2020 21:04:28,No
73.63,27.34,42,24,45,12/07/2020 21:04:29,No
75,27.67,42,24,56,12/07/2020 21:04:30,No
74.51,27.99,42,25,67,12/07/2020 21:04:31,No
74.9,28.63,42,26,23,12/07/2020 21:04:32,No
74.32,27.34,48,23,34,12/07/2020 21:04:33,No
74.61,27.34,48,24,45,12/07/2020 21:04:34,No
73.54,27.34,48,24,56,12/07/2020 21:04:35,No
71.48,27.34,48,25,67,12/07/2020 21:04:36,No
73.34,27.34,48,26,78,12/07/2020 21:04:37,No
73.83,27.34,48,23,89,12/07/2020 21:04:38,No
71.88,27.34,48,24,23,12/07/2020 21:04:39,No
73.24,27.67,48,24,34,12/07/2020 21:04:40,No
72.27,27.34,48,25,45,12/07/2020 21:04:41,No
71.97,27.34,48,26,56,12/07/2020 21:04:42,No
71.78,27.67,48,23,67,12/07/2020 21:04:43,No
70.31,27.34,48,24,12,12/07/2020 21:04:44,No
69.82,27.34,48,24,23,12/07/2020 21:04:45,No
70.7,27.34,48,24,400,12/07/2020 21:04:46,No
70.02,29,48,24,45,12/07/2020 21:04:47,No
36.52,22,48,34,56,12/07/2020 21:04:48,Yes
35.84,23,48,34,67,12/07/2020 21:04:49,Yes
36.62,23,48,34,99,12/07/2020 21:04:50,Yes
35.16,22,45,34,32,12/07/2020 21:04:51,Yes
35.06,62,45,34,199,12/07/2020 21:04:52,Yes
35.45,73,45,34,76,12/07/2020 21:04:53,Yes
34.86,83,45,34,193.4,12/07/2020 21:04:54,Yes
35.94,95.09,45,34,193.4,12/07/2020 21:04:55,Yes
25.49,24.44,45,24,193.73,12/07/2020 21:04:56,No
25.78,24.44,45,24,400,12/07/2020 21:04:57,No
25.68,24.44,45,24,400,12/07/2020 21:04:58,No
25.78,24.44,45,24,400,12/07/2020 21:04:59,No
100,95.66,45,34,22,12/07/2020 21:05:00,Yes
100,88.9,42,34,21,12/07/2020 21:05:01,Yes
100,88.25,42,34,17,12/07/2020 21:05:02,Yes
100,86.96,42,34,18,12/07/2020 21:05:03,Yes
75.78,27.34,42,24,45,12/07/2020 21:05:04,No
74.02,27.34,42,24,56,12/07/2020 21:05:05,No
26.86,90.89,42,34,67,12/07/2020 21:05:06,Yes
24.41,80.89,42,34,78,12/07/2020 21:05:07,Yes
26.76,73,42,34,23,12/07/2020 21:05:08,Yes
35.74,65,42,34,24,12/07/2020 21:05:09,Yes
36.52,65,42,34,23,12/07/2020 21:05:10,Yes
35.74,55.09,42,34,45,12/07/2020 21:05:11,Yes
100,101.79,42,34,12,12/07/2020 21:05:12,Yes
100,98.24,42,34,15,12/07/2020 21:05:13,Yes
100,95.02,42,34,17,12/07/2020 21:05:14,Yes
25.88,24.44,48,24,400,12/07/2020 21:05:15,No
25.98,24.44,48,25,400,12/07/2020 21:05:16,No
26.46,24.44,48,26,193.75,12/07/2020 21:05:17,No
26.46,24.44,48,23,400,12/07/2020 21:05:18,No
25.88,24.12,48,24,400,12/07/2020 21:05:19,No
26.56,24.44,48,24,400,12/07/2020 21:05:20,No
25.59,24.77,48,24,400,12/07/2020 21:05:21,No
26.46,24.77,48,24,194.58,12/07/2020 21:05:22,No
100,132.4,48,34,12,03/08/2020 15:06:03,No
100,115,48,34,15,03/08/2020 15:06:04,Yes
